*** 2025-11-28  07:56:39 *** (restart)
FD : 1 hour ago <=> 11/26/2025 : AG

_*** 2025-11-28  14:51:41 ***_

_*** 2025-11-28  14:54:47 ***_

_*** 2025-11-28  14:57:52 ***_

_*** 2025-11-28  15:00:58 ***_

_*** 2025-11-28  15:04:04 ***_

_*** 2025-11-28  15:07:10 ***_

_*** 2025-11-28  15:10:17 ***_

_*** 2025-11-28  15:13:22 ***_

_*** 2025-11-28  15:16:28 ***_

_*** 2025-11-28  15:19:34 ***_

_*** 2025-11-28  15:22:40 ***_

_*** 2025-11-28  15:25:46 ***_

_*** 2025-11-28  15:28:52 ***_

_*** 2025-11-28  15:31:58 ***_

_*** 2025-11-28  15:35:04 ***_

_*** 2025-11-28  15:38:10 ***_

_*** 2025-11-28  15:41:16 ***_

_*** 2025-11-28  15:44:22 ***_

_*** 2025-11-28  15:47:28 ***_

_*** 2025-11-28  15:50:34 ***_

_*** 2025-11-28  15:53:40 ***_

*** 2025-11-28  15:57:33 *** (restart)
FD : today at 06:22 <=> 5 hours ago : AG

_*** 2025-11-28  15:58:31 ***_

*** 2025-11-28  16:01:37 ***
FD : ==:==  <=> today at 09:59 : AG

_*** 2025-11-28  16:02:27 ***_

_*** 2025-11-28  16:05:33 ***_

_*** 2025-11-28  16:08:39 ***_

_*** 2025-11-28  16:11:45 ***_

_*** 2025-11-28  16:14:51 ***_

_*** 2025-11-28  16:17:57 ***_

_*** 2025-11-28  16:21:03 ***_

_*** 2025-11-28  16:24:09 ***_

_*** 2025-11-28  16:27:15 ***_

_*** 2025-11-28  16:30:21 ***_

_*** 2025-11-28  16:33:27 ***_

_*** 2025-11-28  16:36:33 ***_

_*** 2025-11-28  16:39:38 ***_

_*** 2025-11-28  16:42:44 ***_

_*** 2025-11-28  16:45:50 ***_

_*** 2025-11-28  16:48:56 ***_

_*** 2025-11-28  16:52:02 ***_

_*** 2025-11-28  16:55:08 ***_

_*** 2025-11-28  16:58:14 ***_

_*** 2025-11-28  17:01:20 ***_

_*** 2025-11-28  17:04:26 ***_

_*** 2025-11-28  17:07:32 ***_

_*** 2025-11-28  17:10:37 ***_

_*** 2025-11-28  17:13:43 ***_

_*** 2025-11-28  17:16:49 ***_

_*** 2025-11-28  17:19:55 ***_

_*** 2025-11-28  17:23:01 ***_

_*** 2025-11-28  17:26:07 ***_

_*** 2025-11-28  17:29:13 ***_

_*** 2025-11-28  17:32:18 ***_

_*** 2025-11-28  17:35:24 ***_

_*** 2025-11-28  17:38:30 ***_

_*** 2025-11-28  17:41:36 ***_

_*** 2025-11-28  17:44:42 ***_

_*** 2025-11-28  17:47:48 ***_

_*** 2025-11-28  17:50:54 ***_

_*** 2025-11-28  17:54:00 ***_

_*** 2025-11-28  17:57:06 ***_

_*** 2025-11-28  18:00:12 ***_

_*** 2025-11-28  18:03:17 ***_

_*** 2025-11-28  18:06:23 ***_

_*** 2025-11-28  18:09:29 ***_

_*** 2025-11-28  18:12:35 ***_

_*** 2025-11-28  18:15:41 ***_

_*** 2025-11-28  18:18:47 ***_

_*** 2025-11-28  18:21:53 ***_

_*** 2025-11-28  18:24:59 ***_

